actorname,datestamp,moviename,score,sentiment
杨洋,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,8.0,1
杨洋,2017-08-07,三生三世十里桃花,8.0,0
杨洋,2017-08-07,三生三世十里桃花,7.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,9.0,1
杨洋,2017-08-07,三生三世十里桃花,9.0,1
罗晋,2017-08-07,三生三世十里桃花,2.0,0
杨洋,2017-08-07,三生三世十里桃花,2.0,0
杨洋,2017-08-07,三生三世十里桃花,2.0,0
刘亦菲,2017-08-07,三生三世十里桃花,7.0,1
杨洋,2017-08-07,三生三世十里桃花,7.0,1
刘亦菲,2017-08-07,三生三世十里桃花,1.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,6.0,0
刘亦菲,2017-08-07,三生三世十里桃花,6.0,0
杨洋,2017-08-07,三生三世十里桃花,6.0,0
杨洋,2017-08-07,三生三世十里桃花,6.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,6.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,9.0,1
杨洋,2017-08-07,三生三世十里桃花,9.0,1
刘亦菲,2017-08-07,三生三世十里桃花,9.0,0
杨洋,2017-08-07,三生三世十里桃花,9.0,0
刘亦菲,2017-08-07,三生三世十里桃花,9.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,8.0,1
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
罗晋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,7.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
严屹宽,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,9.0,0
刘亦菲,2017-08-07,三生三世十里桃花,9.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
罗晋,2017-08-07,三生三世十里桃花,10.0,0
罗晋,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,9.0,0
杨洋,2017-08-07,三生三世十里桃花,9.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,9.0,0
杨洋,2017-08-07,三生三世十里桃花,9.0,0
杨洋,2017-08-07,三生三世十里桃花,9.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,7.0,1
杨洋,2017-08-07,三生三世十里桃花,7.0,1
杨洋,2017-08-07,三生三世十里桃花,7.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,9.0,1
杨洋,2017-08-07,三生三世十里桃花,9.0,1
杨洋,2017-08-07,三生三世十里桃花,9.0,0
杨洋,2017-08-07,三生三世十里桃花,9.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,8.0,1
刘亦菲,2017-08-07,三生三世十里桃花,9.0,0
杨洋,2017-08-07,三生三世十里桃花,9.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,7.0,0
刘亦菲,2017-08-07,三生三世十里桃花,7.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,7.0,1
杨洋,2017-08-07,三生三世十里桃花,7.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,6.0,1
杨洋,2017-08-07,三生三世十里桃花,6.0,1
刘亦菲,2017-08-07,三生三世十里桃花,6.0,1
杨洋,2017-08-07,三生三世十里桃花,6.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
罗晋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,9.0,0
杨洋,2017-08-07,三生三世十里桃花,5.0,0
顾璇,2017-08-07,三生三世十里桃花,5.0,0
杨洋,2017-08-07,三生三世十里桃花,5.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,6.0,0
刘亦菲,2017-08-07,三生三世十里桃花,6.0,0
杨洋,2017-08-07,三生三世十里桃花,6.0,0
罗晋,2017-08-07,三生三世十里桃花,6.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,9.0,0
杨洋,2017-08-07,三生三世十里桃花,9.0,0
刘亦菲,2017-08-07,三生三世十里桃花,9.0,1
杨洋,2017-08-07,三生三世十里桃花,9.0,1
刘亦菲,2017-08-07,三生三世十里桃花,9.0,1
刘亦菲,2017-08-07,三生三世十里桃花,2.0,1
杨洋,2017-08-07,三生三世十里桃花,2.0,1
刘亦菲,2017-08-07,三生三世十里桃花,9.0,1
刘亦菲,2017-08-07,三生三世十里桃花,9.0,1
刘亦菲,2017-08-07,三生三世十里桃花,9.0,0
刘亦菲,2017-08-07,三生三世十里桃花,9.0,0
杨洋,2017-08-07,三生三世十里桃花,9.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,8.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,1
顾璇,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
罗晋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,9.0,0
杨洋,2017-08-07,三生三世十里桃花,9.0,0
刘亦菲,2017-08-07,三生三世十里桃花,9.0,0
刘亦菲,2017-08-07,三生三世十里桃花,9.0,0
刘亦菲,2017-08-07,三生三世十里桃花,6.0,0
杨洋,2017-08-07,三生三世十里桃花,6.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,2.0,0
刘亦菲,2017-08-07,三生三世十里桃花,9.0,1
杨洋,2017-08-07,三生三世十里桃花,9.0,1
刘亦菲,2017-08-07,三生三世十里桃花,9.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,8.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,0
罗晋,2017-08-07,三生三世十里桃花,10.0,1
顾璇,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
罗晋,2017-08-07,三生三世十里桃花,7.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,1.0,0
刘亦菲,2017-08-07,三生三世十里桃花,9.0,0
杨洋,2017-08-07,三生三世十里桃花,9.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,8.0,1
刘亦菲,2017-08-07,三生三世十里桃花,4.0,0
刘亦菲,2017-08-07,三生三世十里桃花,1.0,0
杨洋,2017-08-07,三生三世十里桃花,1.0,0
杨洋,2017-08-07,三生三世十里桃花,1.0,0
刘亦菲,2017-08-07,三生三世十里桃花,8.0,0
杨洋,2017-08-07,三生三世十里桃花,8.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,8.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,8.0,0
罗晋,2017-08-07,三生三世十里桃花,8.0,0
顾璇,2017-08-07,三生三世十里桃花,8.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,5.0,0
刘亦菲,2017-08-07,三生三世十里桃花,5.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,9.0,1
杨洋,2017-08-07,三生三世十里桃花,9.0,1
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,7.0,0
杨洋,2017-08-07,三生三世十里桃花,7.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,2.0,0
杨洋,2017-08-07,三生三世十里桃花,2.0,0
杨洋,2017-08-07,三生三世十里桃花,2.0,0
顾璇,2017-08-07,三生三世十里桃花,1.0,1
刘亦菲,2017-08-07,三生三世十里桃花,7.0,0
杨洋,2017-08-07,三生三世十里桃花,7.0,0
刘亦菲,2017-08-07,三生三世十里桃花,7.0,1
杨洋,2017-08-07,三生三世十里桃花,7.0,1
杨洋,2017-08-07,三生三世十里桃花,4.0,0
刘亦菲,2017-08-07,三生三世十里桃花,4.0,0
刘亦菲,2017-08-07,三生三世十里桃花,2.0,1
杨洋,2017-08-07,三生三世十里桃花,2.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,8.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,8.0,1
杨洋,2017-08-07,三生三世十里桃花,9.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,1.0,1
杨洋,2017-08-07,三生三世十里桃花,1.0,1
杨洋,2017-08-07,三生三世十里桃花,1.0,0
刘亦菲,2017-08-07,三生三世十里桃花,2.0,0
杨洋,2017-08-07,三生三世十里桃花,2.0,0
杨洋,2017-08-07,三生三世十里桃花,7.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,9.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,9.0,1
杨洋,2017-08-07,三生三世十里桃花,9.0,1
杨洋,2017-08-07,三生三世十里桃花,9.0,1
杨洋,2017-08-07,三生三世十里桃花,9.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,8.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,7.0,0
刘亦菲,2017-08-07,三生三世十里桃花,2.0,1
杨洋,2017-08-07,三生三世十里桃花,2.0,1
罗晋,2017-08-07,三生三世十里桃花,1.0,0
刘亦菲,2017-08-07,三生三世十里桃花,1.0,1
杨洋,2017-08-07,三生三世十里桃花,1.0,0
刘亦菲,2017-08-07,三生三世十里桃花,1.0,1
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,1.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,9.0,1
杨洋,2017-08-07,三生三世十里桃花,9.0,1
杨洋,2017-08-07,三生三世十里桃花,7.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,7.0,0
杨洋,2017-08-07,三生三世十里桃花,9.0,0
杨洋,2017-08-07,三生三世十里桃花,2.0,0
杨洋,2017-08-07,三生三世十里桃花,6.0,0
刘亦菲,2017-08-07,三生三世十里桃花,9.0,0
杨洋,2017-08-07,三生三世十里桃花,9.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,1.0,1
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,9.0,0
顾璇,2017-08-07,三生三世十里桃花,8.0,1
杨洋,2017-08-07,三生三世十里桃花,8.0,0
刘亦菲,2017-08-07,三生三世十里桃花,8.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,4.0,0
李纯,2017-08-07,三生三世十里桃花,4.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,1
顾璇,2017-08-07,三生三世十里桃花,7.0,0
杨洋,2017-08-07,三生三世十里桃花,9.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,7.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,1.0,0
刘亦菲,2017-08-07,三生三世十里桃花,1.0,0
杨洋,2017-08-07,三生三世十里桃花,1.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,8.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,8.0,0
杨洋,2017-08-07,三生三世十里桃花,8.0,0
刘亦菲,2017-08-07,三生三世十里桃花,1.0,1
杨洋,2017-08-07,三生三世十里桃花,1.0,0
刘亦菲,2017-08-07,三生三世十里桃花,9.0,1
顾璇,2017-08-07,三生三世十里桃花,10.0,0
刘亦菲,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,9.0,0
杨洋,2017-08-07,三生三世十里桃花,3.0,1
刘亦菲,2017-08-07,三生三世十里桃花,10.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
刘亦菲,2017-08-07,三生三世十里桃花,8.0,0
杨洋,2017-08-07,三生三世十里桃花,10.0,0
杨洋,2017-08-08,三生三世十里桃花,10.0,1
刘亦菲,2017-08-08,三生三世十里桃花,10.0,1
杨洋,2017-08-08,三生三世十里桃花,10.0,0
杨洋,2017-08-08,三生三世十里桃花,10.0,0
刘亦菲,2017-08-08,三生三世十里桃花,10.0,1
刘亦菲,2017-08-08,三生三世十里桃花,10.0,1
刘亦菲,2017-08-08,三生三世十里桃花,10.0,0
杨洋,2017-08-08,三生三世十里桃花,10.0,0
杨洋,2017-08-08,三生三世十里桃花,7.0,0
刘亦菲,2017-08-08,三生三世十里桃花,7.0,0
杨洋,2017-08-08,三生三世十里桃花,10.0,0
杨洋,2017-08-08,三生三世十里桃花,10.0,0
杨洋,2017-08-08,三生三世十里桃花,10.0,0
杨洋,2017-08-08,三生三世十里桃花,10.0,0
刘亦菲,2017-08-08,三生三世十里桃花,10.0,1
刘亦菲,2017-08-08,三生三世十里桃花,10.0,0
刘亦菲,2017-08-08,三生三世十里桃花,6.0,0
杨洋,2017-08-08,三生三世十里桃花,6.0,0
罗晋,2017-08-08,三生三世十里桃花,6.0,0
罗晋,2017-08-08,三生三世十里桃花,6.0,0
刘亦菲,2017-08-08,三生三世十里桃花,9.0,0
杨洋,2017-08-08,三生三世十里桃花,9.0,1
杨洋,2017-08-08,三生三世十里桃花,10.0,1
罗晋,2017-08-08,三生三世十里桃花,4.0,0
刘亦菲,2017-08-08,三生三世十里桃花,7.0,1
刘亦菲,2017-08-08,三生三世十里桃花,7.0,1
杨洋,2017-08-08,三生三世十里桃花,7.0,1
杨洋,2017-08-08,三生三世十里桃花,7.0,1
杨洋,2017-08-08,三生三世十里桃花,7.0,0
杨洋,2017-08-08,三生三世十里桃花,7.0,0
刘亦菲,2017-08-08,三生三世十里桃花,7.0,0
刘亦菲,2017-08-08,三生三世十里桃花,7.0,0
杨洋,2017-08-08,三生三世十里桃花,7.0,0
杨洋,2017-08-08,三生三世十里桃花,7.0,1
严屹宽,2017-08-08,三生三世十里桃花,5.0,0
刘亦菲,2017-08-08,三生三世十里桃花,9.0,0
杨洋,2017-08-08,三生三世十里桃花,9.0,1
杨洋,2017-08-08,三生三世十里桃花,10.0,0
杨洋,2017-08-08,三生三世十里桃花,10.0,1
罗晋,2017-08-08,三生三世十里桃花,6.0,0
刘亦菲,2017-08-08,三生三世十里桃花,4.0,0
杨洋,2017-08-08,三生三世十里桃花,7.0,0
杨洋,2017-08-08,三生三世十里桃花,8.0,1
刘亦菲,2017-08-07,三生三世十里桃花,9.0,1
杨洋,2017-08-07,三生三世十里桃花,9.0,1
杨洋,2017-08-07,三生三世十里桃花,10.0,1
罗晋,2017-08-08,三生三世十里桃花,9.0,0
杨洋,2017-08-08,三生三世十里桃花,9.0,0
杨洋,2017-08-08,三生三世十里桃花,9.0,0
刘亦菲,2017-08-08,三生三世十里桃花,9.0,0
杨洋,2017-08-08,三生三世十里桃花,9.0,0
刘亦菲,2017-08-08,三生三世十里桃花,4.0,0
杨洋,2017-08-08,三生三世十里桃花,10.0,0
刘亦菲,2017-08-08,三生三世十里桃花,9.0,1
杨洋,2017-08-08,三生三世十里桃花,7.0,1
